Name,Address,Location
"
ローソン 東京ビッグサイトエントランス店
",東京都江東区有明3-11-1,"{'lat': 35.6298179, 'lng': 139.7942868}"
"
コミュニティショップ二口屋
",東京都江東区大島4丁目12-12,"{'lat': 35.6882129, 'lng': 139.8322956}"
"
吉田屋商店
",東京都江東区枝川2丁目3-9,"{'lat': 35.659245, 'lng': 139.8060555}"
"
デイリーヤマザキ門前仲町駅前店
",東京都江東区富岡1丁目6-6,"{'lat': 35.6710425, 'lng': 139.7971192}"
"
NEWDAYS(ニューデイズ) 新木場2号店
",東京都江東区新木場1 新木場駅1・2番線ホーム内(蘇我方面),"{'lat': 35.6459065, 'lng': 139.8267917}"
"
生活彩家 OCS東京スカイゲート店
",東京都江東区辰巳3-9-27 OCS東京スカイゲート 8F,"{'lat': 35.64263460000001, 'lng': 139.8145263}"
"
NEWDAYS(ニューデイズ) 亀戸4号店
",東京都江東区亀戸5-1 亀戸駅両国方面ホーム内,"{'lat': 35.6973225, 'lng': 139.8265658}"
"
NEWDAYS(ニューデイズ) りんかい新木場店
",東京都江東区新木場1 りんかい線新木場駅改札内,"{'lat': 35.6459065, 'lng': 139.8267917}"
"
NEWDAYSMINI(ニューデイズミニ) 潮見1号店
",東京都江東区潮見2-7-20 潮見駅改札外コンコース,"{'lat': 35.6587316, 'lng': 139.8174046}"
"
NEWDAYSMINI(ニューデイズミニ) 亀戸1号店
",東京都江東区亀戸5-1 亀戸駅北口改札内,"{'lat': 35.6973225, 'lng': 139.8265658}"
"
NEWDAYS(ニューデイズ) 亀戸店
",東京都江東区亀戸5-1 亀戸駅北口改札脇,"{'lat': 35.6973225, 'lng': 139.8265658}"
"
NEWDAYS(ニューデイズ) 東京テレポート店
",東京都江東区青海1-2-1 りんかい線東京テレポート駅改札外コンコース,"{'lat': 35.6275325, 'lng': 139.7788145}"
"
COMMUNITY STORE(コミュニティ・ストア) イーストスクエア東京店
",東京都江東区新砂1-6-35 イーストスクエア東京1F,"{'lat': 35.6671145, 'lng': 139.8235945}"
"
ポプラ 古石場3丁目店
",東京都江東区古石場3-8-1,"{'lat': 35.6659652, 'lng': 139.8007949}"
"
生活彩家 豊洲センタービル店
",東京都江東区豊洲3-3-3 豊洲センタービル1F,"{'lat': 35.6558266, 'lng': 139.7963119}"
"
生活彩家 theSOHO青海店
",東京都江東区青海2-7-4,"{'lat': 35.6181091, 'lng': 139.7749925}"
"
サンフェスタ
",東京都江東区千田7-17,"{'lat': 35.68084109999999, 'lng': 139.8153896}"
"
コミュニティストア大阪屋
",東京都江東区木場5-11-19,"{'lat': 35.66958, 'lng': 139.807925}"
"
ファミリーマート テレコムセンター店
",東京都江東区青海2-5-10,"{'lat': 35.6170866, 'lng': 139.7796947}"
"
デイリーヤマザキ 豊洲5丁目店
",東京都江東区豊洲5-5-18,"{'lat': 35.6530697, 'lng': 139.797342}"
"
ローソン 南砂二丁目店
",東京都江東区南砂2-37-1,"{'lat': 35.6718179, 'lng': 139.825563}"
"
ローソン 大島五丁目店
",東京都江東区大島5-45-7,"{'lat': 35.6897655, 'lng': 139.8366669}"
"
ローソン 辰巳団地店
",東京都江東区辰巳1-2-9-113,"{'lat': 35.650126, 'lng': 139.808645}"
"
ローソン 亀戸一丁目店
",東京都江東区亀戸1-38-4,"{'lat': 35.6962661, 'lng': 139.8241636}"
"
ローソン 亀戸七丁目店
",東京都江東区亀戸7-10-16,"{'lat': 35.6973157, 'lng': 139.8347888}"
"
ローソン 南砂五丁目店
",東京都江東区南砂5-23-8,"{'lat': 35.6759532, 'lng': 139.8339411}"
"
ローソン 清澄三丁目店
",東京都江東区清澄3-4-8,"{'lat': 35.6818384, 'lng': 139.7979886}"
"
ローソン 亀戸南店
",東京都江東区亀戸6-1-15,"{'lat': 35.6939742, 'lng': 139.8281932}"
"
ローソン 亀戸水神店
",東京都江東区亀戸8-14-13,"{'lat': 35.7006771, 'lng': 139.8332322}"
"
ローソン 東陽三丁目店
",東京都江東区東陽3-7-10,"{'lat': 35.6695236, 'lng': 139.8098847}"
"
ローソン 新木場一丁目店
",東京都江東区新木場1-8-19,"{'lat': 35.645821, 'lng': 139.834994}"
"
ローソン 江東亀戸六丁目店
",東京都江東区亀戸6-29-10,"{'lat': 35.6962446, 'lng': 139.8276071}"
"
ローソン 江東住吉二丁目店
",東京都江東区住吉2-16-8,"{'lat': 35.6899055, 'lng': 139.8154342}"
"
ローソン 有明コロシアム前店
",東京都江東区有明1-3-19,"{'lat': 35.6385601, 'lng': 139.790627}"
"
ローソン アパホテル東京潮見駅前店
",東京都江東区潮見2-8-6,"{'lat': 35.6578741, 'lng': 139.8189755}"
"
ローソン 亀戸二丁目店
",東京都江東区亀戸2-18-10,"{'lat': 35.6979057, 'lng': 139.8240397}"
"
ローソン 住吉一丁目店
",東京都江東区住吉1-16-14,"{'lat': 35.6890512, 'lng': 139.8127108}"
"
ローソン 東陽七丁目店
",東京都江東区東陽7-1-10,"{'lat': 35.6755744, 'lng': 139.8163654}"
"
ローソン 猿江二丁目店
",東京都江東区猿江2-3-14,"{'lat': 35.6860193, 'lng': 139.8157716}"
"
ナチュラルローソン 豊洲三丁目店
",東京都江東区豊洲3-5-21,"{'lat': 35.6586976, 'lng': 139.7958331}"
"
ナチュラルローソン 東陽七丁目店
",東京都江東区東陽7-1-2,"{'lat': 35.6749635, 'lng': 139.8163974}"
"
ローソン ホテルサンルート有明店
",東京都江東区有明3-6-6,"{'lat': 35.6321669, 'lng': 139.7894983}"
"
ローソン H東砂七丁目店
",東京都江東区東砂7-16-6,"{'lat': 35.6752838, 'lng': 139.8403043}"
"
ローソン 江東東雲一丁目店
",東京都江東区東雲1-7-12,"{'lat': 35.6478102, 'lng': 139.7985686}"
"
ローソン 東雲駅前店
",東京都江東区東雲2-10-1,"{'lat': 35.6401764, 'lng': 139.8042444}"
"
ローソン 江東運転免許試験場前店
",東京都江東区南砂2-1-15,"{'lat': 35.6695201, 'lng': 139.8217618}"
"
ローソン 西大島駅前店
",東京都江東区大島2-41-18,"{'lat': 35.6895714, 'lng': 139.8261438}"
"
ローソンストア100 LS江東大島六丁目団地店
",東京都江東区大島6-1-1,"{'lat': 35.690304, 'lng': 139.8323778}"
"
ローソン 豊洲フロント店
",東京都江東区豊洲3-2-20,"{'lat': 35.6568767, 'lng': 139.795662}"
"
ローソン 木場二丁目店
",東京都江東区木場2-8-3,"{'lat': 35.6698222, 'lng': 139.8028024}"
"
ローソン 東雲一丁目店
",東京都江東区東雲1-9-9,"{'lat': 35.6470265, 'lng': 139.8023966}"
"
ローソン 有明セントラルタワー店
",東京都江東区有明3-7-18,"{'lat': 35.6320627, 'lng': 139.7936757}"
"
ローソン 大島四丁目店
",東京都江東区大島4-3-2,"{'lat': 35.6886009, 'lng': 139.8265977}"
"
ローソン 新大橋一丁目店
",東京都江東区新大橋1-9-6,"{'lat': 35.6890487, 'lng': 139.7934226}"
"
ローソン しののめ店
",東京都江東区東雲2-1-19,"{'lat': 35.6437915, 'lng': 139.8018548}"
"
ローソン JPローソン東陽公園店
",東京都江東区東陽3-27-30,"{'lat': 35.6697282, 'lng': 139.8153085}"
"
【休業中】ローソン 江東木場店
",東京都江東区木場6-4-4,"{'lat': 35.6667189, 'lng': 139.8055652}"
"
ローソン 木場公園店
",東京都江東区木場3-18-14,"{'lat': 35.6726631, 'lng': 139.8061736}"
"
ローソン 江東清澄店
",東京都江東区三好1-8-3,"{'lat': 35.6803555, 'lng': 139.7992778}"
"
ローソン 永代橋店
",東京都江東区永代1-14-26,"{'lat': 35.6748592, 'lng': 139.7906704}"
"
ローソン TIME24店
",東京都江東区青海2-4-32,"{'lat': 35.6175817, 'lng': 139.7769343}"
"
ローソン 東陽橋店
",東京都江東区塩浜2-24-10-114,"{'lat': 35.6642858, 'lng': 139.8152052}"
"
ローソン お台場店
",東京都江東区青海1-2-9,"{'lat': 35.6266083, 'lng': 139.7770925}"
"
ローソン 小名木川店
",東京都江東区北砂5-20,"{'lat': 35.6840631, 'lng': 139.832974}"
"
ローソン 国際展示場駅前店
",東京都江東区有明3-7-2,"{'lat': 35.6340797, 'lng': 139.7912456}"
"
ローソン 豊洲一丁目店
",東京都江東区豊洲1-2-39,"{'lat': 35.6600425, 'lng': 139.7924181}"
"
ローソン 亀戸駅北口店
",東京都江東区亀戸5-3-2,"{'lat': 35.6984599, 'lng': 139.8262453}"
"
ローソン 南砂葛西橋通店
",東京都江東区南砂2-34-4,"{'lat': 35.6747331, 'lng': 139.8261966}"
"
ローソン 江東豊洲五丁目店
",東京都江東区豊洲5-4-9,"{'lat': 35.65205890000001, 'lng': 139.7965348}"
"
ナチュラルローソン 昭和大学江東豊洲病院
",東京都江東区豊洲5-1-38,"{'lat': 35.6503083, 'lng': 139.7962722}"
"
ローソン 墨東病院東店
",東京都江東区亀戸1-4-2,"{'lat': 35.6943489, 'lng': 139.8202718}"
"
ローソン 南砂日曹橋店
",東京都江東区南砂2-38-3,"{'lat': 35.66945, 'lng': 139.825479}"
"
ローソン JPローソン新東京郵便局事務棟店
",東京都江東区新砂2-4-23新東京郵便局事務棟3F,"{'lat': 35.6608423, 'lng': 139.8259797}"
"
ローソン JPローソン深川郵便局店
",東京都江東区東陽4-4-2,"{'lat': 35.6702239, 'lng': 139.8178934}"
"
ローソン 江東北砂二丁目店
",東京都江東区北砂2-1-28,"{'lat': 35.6781177, 'lng': 139.8271}"
"
ローソン 江東森下一丁目店
",東京都江東区森下1-16-10,"{'lat': 35.6881511, 'lng': 139.7972658}"
"
ローソン ポートストア有明店
",東京都江東区有明4-4-24,"{'lat': 35.6229295, 'lng': 139.7897689}"
"
ローソン 東大島駅前店
",東京都江東区大島7-39-27,"{'lat': 35.6909531, 'lng': 139.8440526}"
"
ローソンストア100 LS東大島店
",東京都江東区大島8-42-17,"{'lat': 35.689859, 'lng': 139.8443784}"
"
ローソンストア100 LS江東白河二丁目店
",東京都江東区白河2-5-13,"{'lat': 35.6813317, 'lng': 139.8032769}"
"
ローソンストア100 LS西大島店
",東京都江東区大島4-5-11籐和西大島コープ,"{'lat': 35.6891068, 'lng': 139.8277373}"
"
ローソンストア100 LS東陽一丁目店
",東京都江東区東陽1-28-4天野園ビル,"{'lat': 35.6682559, 'lng': 139.8110895}"
"
ローソンストア100 LS大島一丁目店
",東京都江東区大島1-21-5エスポワール西大島,"{'lat': 35.6866931, 'lng': 139.8248788}"
